lat,lon,time,alt,speed,bearing
59.4569283,25.1389425,6000,30.9,12.39,344.50
59.4574846,25.1383117,12000,36.1,14.28,299.20
59.4574608,25.1378349,14000,40.3,13.58,264.40
59.4573383,25.1373959,16000,40.5,14.19,241.20
59.457228,25.1370543,18000,43.1,11.47,237.60
59.4571474,25.1366242,20000,42.7,13.00,249.80
59.4570505,25.136265,22000,45.1,11.53,242.00
59.4569514,25.1358928,24000,45.8,11.92,242.30
59.456847,25.1355403,26000,44,11.56,239.80
59.4567261,25.1351989,28000,44.5,11.81,235.10
59.4566306,25.1348526,30000,46.8,11.17,241.50
59.4565111,25.1345528,32000,45.5,10.81,231.90
59.4563669,25.1342336,34000,44.3,12.11,228.40
59.456217,25.1339509,36000,45.4,11.58,223.80
59.4560378,25.1337929,38000,44.4,10.94,204.10
59.4557838,25.1338466,40000,40.7,14.22,173.90
59.4555307,25.1340286,42000,42.2,15.00,159.90
59.4553309,25.1343264,44000,43.8,13.97,142.90
59.4549127,25.1349222,47000,41.8,14.83,146.00
59.4547141,25.135257,49000,38.5,14.58,139.40
59.4544865,25.1355905,51000,35.8,15.81,143.30
59.4542688,25.1359176,53000,34.8,15.28,142.60
59.4541184,25.1363916,55000,33.8,15.83,122.00
59.4540092,25.1369013,57000,34.3,15.69,112.90
59.4538996,25.1373963,59000,34.3,15.31,113.50
59.453829,25.1379283,61000,33.6,15.58,104.60
59.4537548,25.1385587,63000,33.5,18.36,103.00
59.4536923,25.139147,65000,34.2,17.06,101.80
59.4536857,25.1397174,67000,31.3,16.17,91.30
59.4537641,25.1402144,69000,31.2,14.75,72.80
59.4539325,25.1406183,71000,31.1,14.81,50.60
59.4541245,25.14094,73000,31.7,14.06,40.40
59.4543223,25.1411648,75000,32.1,12.72,30.00
59.454539,25.1412748,77000,31,12.47,14.50
59.4547726,25.1413369,79000,31.8,13.14,7.70
59.4550104,25.1413247,81000,32.7,13.25,358.50
59.4552072,25.1411869,83000,32.1,11.64,340.40
59.4553571,25.1409014,85000,30.4,11.64,315.90
59.4554313,25.1405289,87000,29.3,11.33,291.40
59.4553951,25.1401271,89000,30.1,11.58,259.90
59.4552535,25.1398013,91000,30.8,12.14,229.50
59.4550602,25.1395765,93000,31.3,12.50,210.60
59.4548197,25.1395276,95000,31.5,13.47,185.90
59.4545753,25.1395764,97000,31.8,13.69,174.20
59.454327,25.1396466,99000,31.8,13.97,171.80
59.4540631,25.1397111,101000,32.1,14.81,172.90
59.4538156,25.1397676,103000,31.3,13.89,173.40
59.4535766,25.1397925,105000,30.7,13.33,177.00
59.4533536,25.1397879,107000,32.1,12.42,180.60
59.4531525,25.1397488,109000,33.2,11.25,185.60
59.4527497,25.1394395,114000,32.5,11.94,203.20
59.4525311,25.1393609,116000,31.4,12.39,190.40
59.4522863,25.1395289,118000,29.5,14.44,160.80
59.4520852,25.1398875,120000,29.8,15.14,137.80
59.451976,25.140385,122000,30.3,15.36,113.40
59.4519752,25.1409454,124000,29.8,15.89,90.20
59.4520594,25.1414451,126000,31.3,14.92,71.70
59.4521698,25.1418914,128000,31.6,14.08,64.00
59.4522931,25.1423423,130000,31.8,14.53,61.70
59.4523581,25.1428444,132000,30.7,14.69,75.70
59.4523796,25.1433889,134000,30.8,15.50,85.60
59.4523575,25.1439057,136000,32.4,14.69,94.80
59.4522595,25.144393,138000,32.7,14.86,111.60
59.452135,25.1448344,140000,32.4,14.31,119.00
59.4520179,25.145307,142000,32.1,14.92,116.00
59.4520118,25.1458532,144000,30.2,15.50,91.30
59.4521263,25.1463151,146000,30.5,14.58,64.00
59.4523377,25.1465389,148000,30.3,13.39,28.30
59.4525683,25.1465479,150000,30.8,12.86,1.10
59.4527713,25.1464062,152000,31.6,12.00,340.50
