lat,lon,time,alt,speed,bearing
59.4564367,25.1393049,0,33,0,318
59.4565425,25.1391175,2000,30.3,7.944444444,318
59.4567139,25.1390592,4000,29.8,9.694444444,350.2
59.4569283,25.1389425,6000,30.9,12.38888889,344.5
59.4571689,25.1389395,7999,35.1,13.38888889,359.6
59.4573597,25.1387514,10000,34.4,11.88888889,333.4
59.4574846,25.1383117,12000,36.1,14.27777778,299.2
59.4574608,25.1378349,14000,40.3,13.58333333,264.4
59.4573383,25.1373959,16000,40.5,14.19444444,241.2
59.457228,25.1370543,18000,43.1,11.47222222,237.6
59.4571474,25.1366242,20000,42.7,13,249.8
59.4570505,25.136265,22000,45.1,11.52777778,242
59.4569514,25.1358928,24000,45.8,11.91666667,242.3
59.456847,25.1355403,26000,44,11.55555556,239.8
59.4567261,25.1351989,28000,44.5,11.80555556,235.1
59.4566306,25.1348526,30000,46.8,11.16666667,241.5
59.4565111,25.1345528,32000,45.5,10.80555556,231.9
59.4563669,25.1342336,34000,44.3,12.11111111,228.4
59.456217,25.1339509,36000,45.4,11.58333333,223.8
59.4560378,25.1337929,38000,44.4,10.94444444,204.1
59.4557838,25.1338466,40000,40.7,14.22222222,173.9
59.4555307,25.1340286,42000,42.2,15,159.9
59.4553309,25.1343264,44000,43.8,13.97222222,142.9
59.4551333,25.134629,45000,42.4,27.91666667,142.1
59.4549127,25.1349222,47000,41.8,14.83333333,146
59.4547141,25.135257,49000,38.5,14.58333333,139.4
59.4544865,25.1355905,51000,35.8,15.80555556,143.3
59.4542688,25.1359176,53000,34.8,15.27777778,142.6
59.4541184,25.1363916,55000,33.8,15.83333333,122
59.4540092,25.1369013,57000,34.3,15.69444444,112.9
59.4538996,25.1373963,59000,34.3,15.30555556,113.5
59.453829,25.1379283,61000,33.6,15.58333333,104.6
59.4537548,25.1385587,63000,33.5,18.36111111,103
59.4536923,25.139147,65000,34.2,17.05555556,101.8
59.4536857,25.1397174,67000,31.3,16.16666667,91.3
59.4537641,25.1402144,69000,31.2,14.75,72.8
59.4539325,25.1406183,71000,31.1,14.80555556,50.6
59.4541245,25.14094,73000,31.7,14.05555556,40.4
59.4543223,25.1411648,75000,32.1,12.72222222,30
59.454539,25.1412748,77000,31,12.47222222,14.5
59.4547726,25.1413369,79000,31.8,13.13888889,7.7
59.4550104,25.1413247,81000,32.7,13.25,358.5
59.4552072,25.1411869,83000,32.1,11.63888889,340.4
59.4553571,25.1409014,85000,30.4,11.63888889,315.9
59.4554313,25.1405289,87000,29.3,11.33333333,291.4
59.4553951,25.1401271,89000,30.1,11.58333333,259.9
59.4552535,25.1398013,91000,30.8,12.13888889,229.5
59.4550602,25.1395765,93000,31.3,12.5,210.6
59.4548197,25.1395276,95000,31.5,13.47222222,185.9
59.4545753,25.1395764,97000,31.8,13.69444444,174.2
59.454327,25.1396466,99000,31.8,13.97222222,171.8
59.4540631,25.1397111,101000,32.1,14.80555556,172.9
59.4538156,25.1397676,103000,31.3,13.88888889,173.4
59.4535766,25.1397925,105000,30.7,13.33333333,177
59.4533536,25.1397879,107000,32.1,12.41666667,180.6
59.4531525,25.1397488,109000,33.2,11.25,185.6
59.4529468,25.1396054,112000,33.2,8.111111111,199.5
59.4527497,25.1394395,114000,32.5,11.94444444,203.2
59.4525311,25.1393609,116000,31.4,12.38888889,190.4
59.4522863,25.1395289,118000,29.5,14.44444444,160.8
59.4520852,25.1398875,120000,29.8,15.13888889,137.8
59.451976,25.140385,122000,30.3,15.36111111,113.4
59.4519752,25.1409454,124000,29.8,15.88888889,90.2
59.4520594,25.1414451,126000,31.3,14.91666667,71.7
59.4521698,25.1418914,128000,31.6,14.08333333,64
59.4522931,25.1423423,130000,31.8,14.52777778,61.7
59.4523581,25.1428444,132000,30.7,14.69444444,75.7
59.4523796,25.1433889,134000,30.8,15.5,85.6
59.4523575,25.1439057,136000,32.4,14.69444444,94.8
59.4522595,25.144393,138000,32.7,14.86111111,111.6
59.452135,25.1448344,140000,32.4,14.30555556,119
59.4520179,25.145307,142000,32.1,14.91666667,116
59.4520118,25.1458532,144000,30.2,15.5,91.3
59.4521263,25.1463151,146000,30.5,14.58333333,64
59.4523377,25.1465389,148000,30.3,13.38888889,28.3
59.4525683,25.1465479,150000,30.8,12.86111111,1.1
59.4527713,25.1464062,152000,31.6,12,340.5
59.4529045,25.14611,154000,31.3,11.19444444,311.5
59.4529882,25.1457752,156000,31.8,10.58333333,296.2
59.4530803,25.1454409,158000,32.2,10.77777778,298.5
59.4532206,25.1451657,160000,32,11.05555556,315.1
59.4533957,25.1449209,161000,32.1,23.94444444,324.6
59.4535722,25.1447101,163000,32.1,11.5,328.7
59.4537444,25.1444807,165000,32.7,11.58333333,325.9
59.4538994,25.1442318,167000,33.1,11.13888889,320.8
59.4540513,25.1439862,169000,32.5,10.97222222,320.6
59.4541963,25.1437014,171000,31.9,11.41666667,315.1
59.4543299,25.1434269,173000,31.5,10.77777778,313.8
59.4544709,25.1431339,175000,31.5,11.44444444,313.4
59.4546266,25.1428679,177000,31.2,11.5,319
59.4547915,25.1426073,179000,30.8,11.77777778,321.2
59.4549499,25.1423333,181000,31.3,11.75,318.7
59.4551142,25.142113,183000,31.5,11.08333333,325.7
59.4552872,25.1418625,185000,30.9,11.97222222,323.7
59.455449,25.1415859,187000,30.6,11.94444444,319
59.4556096,25.1413254,189000,30.4,11.61111111,320.5
59.4558,25.1411405,191000,29.5,11.83333333,333.7
59.4560246,25.1411088,193000,28.2,12.55555556,355.9
59.4562515,25.1412956,195000,27.4,13.69444444,22.7
59.4564747,25.1414508,197000,29.3,13.19444444,19.5
59.4566715,25.1412355,199000,25.5,12.55555556,330.9
59.4567355,25.1407782,201000,27.3,13.44444444,285.4
59.4566095,25.1403941,203000,30.2,12.94444444,237.2
59.4564018,25.1401961,205000,34.4,12.86111111,205.8
59.4562935,25.1401316,206000,35.8,12.61111111,196.8
59.4560842,25.1399725,208000,37,12.5,201.1
59.4558857,25.1397699,210000,38.1,12.47222222,207.4
59.4557211,25.1395582,212000,38.7,10.97222222,213.2
59.4555599,25.1393612,214000,37.1,10.58333333,211.8
59.4553362,25.1392553,216000,34.8,12.80555556,193.5
59.4546026,25.1392478,222000,38.8,13.61111111,180.3
59.45437,25.1393032,224000,37.9,13.05555556,173.1
59.4541255,25.1393872,226000,37.8,13.83333333,170.1
59.4538765,25.1394868,228000,36.6,14.16666667,168.5
59.4536341,25.1396016,230000,35.9,13.88888889,166.5
59.4533981,25.1397257,232000,36,13.61111111,165
59.4531619,25.1398572,234000,35.7,13.66666667,164.2
59.45292,25.1400547,236000,35.4,14.58333333,157.5
59.4528003,25.1401555,238000,35.1,7.25,156.8
59.4525683,25.1403783,240000,35.3,14.38888889,154
59.4523499,25.1406682,242000,34.5,14.69444444,146
59.4521589,25.1410263,244000,33.2,14.69444444,136.4
59.4519966,25.141465,246000,32.4,15.38888889,126.1
59.4518578,25.1419536,248000,32.6,15.86111111,119.2
59.4517114,25.1424338,250000,32.6,15.86111111,121
59.4515047,25.1427912,252000,31.5,15.33333333,138.7
59.4512503,25.1430011,254000,32.7,15.36111111,157.2
59.451015,25.1430379,256000,34.5,13.13888889,175.5
59.4508184,25.142949,258000,35,11.25,192.9
59.450596,25.1428613,260000,33.9,12.63888889,191.3
59.4503487,25.1429729,262000,32.6,14.13888889,167.1
59.4501541,25.143359,264000,32.9,15.41666667,134.8
59.4500872,25.1439355,266000,33.1,16.77777778,102.9
59.4501439,25.1445093,268000,34,16.58333333,79
59.4503023,25.1449548,270000,34.6,15.41666667,55
59.4505177,25.1452543,272000,35.6,14.69444444,35.3
59.450734,25.1454747,274000,37.4,13.58333333,27.4
59.4509527,25.1456597,276000,37.2,13.25,23.3
59.4511705,25.1458015,278000,36.2,12.77777778,18.3
59.4513911,25.1459612,280000,36.2,13.08333333,20.2
59.4516068,25.1460927,282000,36.3,12.58333333,17.2
59.4518239,25.1461962,284000,35.3,12.44444444,13.6
59.4520472,25.1463293,286000,35,13,16.9
59.4522602,25.1464547,288000,34.8,12.38888889,16.7
59.4524859,25.1464683,289000,34.7,25.16666667,1.8
59.4526822,25.146325,291000,35.6,11.66666667,339.6
59.4528533,25.1461121,293000,38.5,11.27777778,327.7
59.4529787,25.1459176,295000,39.5,8.888888889,321.8
59.4531175,25.1456734,297000,39,10.38888889,318.2
59.4532469,25.145412,299000,38.3,10.33333333,314.2
59.4533734,25.1451343,301000,37.5,10.55555556,311.9
59.4534924,25.1448298,303000,37.4,10.88888889,307.6
59.4536166,25.1445117,305000,36.7,11.36111111,307.5
59.4537245,25.1442148,307000,35,10.33333333,305.6
59.4538253,25.1438746,309000,33.1,11.16666667,300.2
59.4539143,25.1435496,311000,33.1,10.47222222,298.3
59.4539765,25.1431757,313000,32.3,11.16666667,288.1
59.4540903,25.1428367,315000,32.7,11.52777778,303.4
59.4541708,25.1425172,317000,33.3,10.11111111,296.4
59.4542463,25.1421335,319000,32.3,11.66666667,291.2
59.4543551,25.1417628,321000,32.4,12.13888889,300
59.4544304,25.1413846,323000,33.3,11.52777778,291.4
59.4544652,25.1409927,325000,34.1,11.27777778,279.9
59.454533,25.1406384,327000,34.2,10.72222222,290.6
59.4545769,25.1402483,329000,34.1,11.33333333,282.5
59.4546219,25.1398533,331000,34.9,11.47222222,282.6
59.454676,25.1395141,333000,35.6,10.08333333,287.4
59.4547275,25.1391593,335000,33.7,10.47222222,285.9
59.4547844,25.1387803,337000,33.4,11.19444444,286.5
59.4548617,25.1384238,339000,34.1,11,293.1
59.4549063,25.138035,341000,34.9,11.30555556,282.7
59.4549793,25.1376721,343000,34.5,11.05555556,291.6
59.4550259,25.1372845,345000,34.8,11.30555556,283.3
59.4550493,25.1369159,347000,34,10.52777778,277.1
59.4551709,25.1366449,349000,31.9,10.25,311.4
59.4553954,25.1366164,351000,28.2,12.52777778,356.3
59.4556275,25.1369757,353000,26.2,16.47222222,38.2
59.4557072,25.1375824,355000,28.7,17.77777778,75.5
59.4556988,25.1381366,357000,31.7,15.72222222,91.7
59.4557753,25.1386374,359000,29.7,14.83333333,73.3
59.4559417,25.1390709,361000,29.5,15.38888889,52.9
59.4561479,25.1393952,364000,31.3,9.805555556,38.6
59.456359,25.1396455,366000,33.1,13.72222222,31.1
59.4565524,25.1399226,368000,35.1,13.33333333,36.1
59.4567351,25.1402095,370000,34.8,13.02777778,38.6
59.4569323,25.1404984,372000,35.3,13.69444444,36.7
59.4571139,25.1408069,374000,36.1,13.36111111,40.8
59.4573076,25.1410789,376000,35.7,13.25,35.5
59.4574988,25.1413799,378000,36.1,13.63888889,38.7
59.4576815,25.1416957,380000,36.2,13.55555556,41.3
59.457876,25.1419992,382000,36.4,13.83333333,38.4
59.4584345,25.1428681,388000,38.1,13.22222222,38.3
59.4586228,25.1431118,390000,38.1,12.55555556,33.3
59.4588182,25.1432789,392000,38.3,11.86111111,23.5
59.4595012,25.1426988,400000,38.6,10.36111111,336.7
59.459446,25.1423249,402000,36.9,11.02777778,253.8
59.4592873,25.1420437,404000,37.6,11.91666667,222
59.4590468,25.1419952,406000,36.7,13.47222222,185.9
59.4588055,25.1420996,407000,36,27.52777778,167.6
59.4585645,25.142166,409000,35.1,13.55555556,172
59.4583183,25.1421859,411000,34.2,13.72222222,177.6
59.4580762,25.1422128,413000,34.2,13.5,176.8
59.4578412,25.1422553,415000,35,13.13888889,174.7
59.4576104,25.1423243,417000,34.9,13,171.4
59.4573687,25.1423947,419000,34.1,13.61111111,171.6
59.4571291,25.1424648,421000,33.6,13.5,171.5
59.4569015,25.142444,423000,31.2,12.69444444,182.7
59.4566759,25.1423435,425000,30.7,12.88888889,192.8
59.4564647,25.1421914,427000,30.9,12.52777778,200.1
59.4562846,25.1419773,429000,30.3,11.72222222,211.1
59.456129,25.1417013,431000,29.8,11.66666667,222
59.455998,25.1413732,433000,29.8,11.83333333,231.8
59.4559411,25.1410019,435000,29.8,11,253.2
59.4558972,25.1406294,437000,29.9,10.83333333,256.9
59.4558312,25.1402529,439000,29.7,11.27777778,251
59.4557267,25.1398731,441000,29.9,12.25,241.6
59.4556133,25.1394845,443000,31,12.69444444,240.1
59.4554611,25.1391743,445000,31.8,12.22222222,226
59.4552471,25.1390616,447000,30.4,12.33333333,195
59.4550168,25.1392913,449000,28.6,14.38888889,153.1
59.4548821,25.139824,451000,27.9,16.86111111,116.5
59.4551533,25.1387555,453000,68.7,33.86111111,296.5
59.4552544,25.1389652,455000,70.3,8.194444444,46.5
59.455551,25.1392839,457000,72.3,18.83333333,28.6
59.4557644,25.1393876,459000,73.6,12.25,13.9
59.4560085,25.1396849,461000,80.2,16,31.8
59.4562395,25.1399922,463000,84.8,15.52777778,34.1
59.4564463,25.1402699,465000,84,13.94444444,34.3
59.4566503,25.1405894,467000,83.7,14.52777778,38.5
59.456848,25.1409054,469000,84.3,14.19444444,39.1
59.4570537,25.1412246,471000,84.7,14.61111111,38.3
59.4572659,25.1415288,473000,86,14.63888889,36.1
59.4574767,25.1417421,475000,87,13.19444444,27.2
59.4577026,25.1417511,477000,87.3,12.58333333,1.2
59.4578897,25.1414881,479000,87.3,12.80555556,324.5
59.4579983,25.1411391,481000,88.3,11.61111111,301.5
59.4580609,25.1407543,483000,88.6,11.44444444,287.8
59.4581322,25.1404015,485000,89.1,10.75,291.7
59.4581514,25.1400205,487000,88.3,10.86111111,275.7
59.4581613,25.1396189,490000,87.1,7.611111111,272.8
59.4581796,25.1392123,492000,86.6,11.58333333,275.1
59.4581079,25.1388347,494000,85.8,11.41666667,249.5
59.4579556,25.1385049,496000,84.4,12.63888889,227.7
59.4577565,25.1382551,497000,85.2,26.30555556,212.5
59.4575507,25.1380552,499000,86.5,12.77777778,206.3
59.4573396,25.1379224,501000,87.1,12.33333333,197.7
59.457056,25.1380237,504000,36.1,10.69444444,169.7
59.4567807,25.1378599,506000,37.1,16.02777778,196.8
59.4566029,25.1377095,508000,38.5,10.77777778,203.3
59.4564073,25.1375379,510000,37.2,11.94444444,204
59.4561971,25.13737,512000,36.7,12.63888889,202.1
59.4560082,25.1372203,514000,37.1,11.33333333,201.9
59.4558098,25.1370661,516000,37,11.88888889,201.6
59.4555672,25.1370894,518000,36.2,13.52777778,177.2
59.4553305,25.1373237,520000,35.4,14.77777778,153.3
59.4551133,25.1376485,522000,37.2,15.19444444,142.8
59.4549491,25.1380451,524000,35.9,14.5,129.2
59.4547957,25.1384854,526000,36.1,15.13888889,124.4
59.4546727,25.1390031,528000,36.1,16.19444444,115.1
59.4545836,25.139526,530000,36.3,15.63888889,108.5
59.4545255,25.1400601,532000,35.9,15.5,102.1
59.4545952,25.1405778,534000,33.9,15.19444444,75.2
59.4547361,25.1410118,536000,33.4,14.58333333,57.4
59.4549407,25.141261,538000,33.6,13.41666667,31.8
59.4551609,25.1413605,540000,33.9,12.58333333,12.9
59.45537,25.1413198,542000,35.1,11.69444444,354.4
59.4555613,25.141182,544000,35.7,11.36111111,339.9
59.4557394,25.1409973,546000,34.8,11.22222222,332.2
59.4559104,25.1408043,547000,37,21.97222222,330.2
59.456069,25.1406243,549000,36.6,10.19444444,330
59.4562364,25.1404094,551000,34.5,11.13888889,326.9
59.4564211,25.1401763,553000,36.6,12.22222222,327.3
59.4565816,25.1399655,555000,39.9,10.75,326.3
59.4567331,25.1397913,557000,39.3,9.777777778,329.7
59.4569127,25.1396156,559000,37.8,11.16666667,333.6
59.4570817,25.1393978,561000,37.7,11.25,326.8
59.457231,25.1391883,563000,38.4,10.22222222,324.5
59.4573775,25.1390004,565000,37.1,9.75,326.9
59.4575388,25.1387661,567000,37.1,11.16666667,323.6
59.4576811,25.1385129,569000,35.8,10.69444444,317.9
59.4578114,25.1382136,571000,36.6,11.16666667,310.6
