latitude(deg),longitude(deg),time(ms),elevation(m),velocity(m/s),bearing(deg)
58.98627,23.249663,252000,5.247,0.01982108271,161.0426262
58.986282,23.249624,285000,5.549,0.07888598806,300.844761
58.986283,23.249627,299000,5.698,0.01462625198,57.09941016
58.98628,23.249629,333000,5.698,0.01037691964,161.0426317
58.986365,23.24943,355000,5.219,2.422281759,308.3083745
58.986675,23.248781,361000,4.903,8.452810447,312.8326322
58.98696,23.248491,364000,8.07,11.93061431,332.333248
58.987288,23.248826,367000,12.884,13.74171002,27.75438933
58.987343,23.249039,368000,15.911,13.6535118,63.38132204
58.987377,23.249267,369000,20.089,13.60221257,73.8578104
58.987348,23.250016,372000,22.206,14.34793587,94.29726496
58.987207,23.250498,374000,27.559,15.88178885,119.586395
58.987127,23.250707,375000,31.147,14.92076305,126.6093355
58.986769,23.251442,379000,33.855,14.49079612,133.3904607
58.986256,23.252003,383000,38.203,16.37328876,150.6007001
58.986037,23.252288,385000,40.561,14.66378334,146.1570479
58.98541,23.253012,390000,43.78,16.22972835,149.2485838
58.985168,23.25328,392000,48.004,15.49528069,150.2900933
58.984935,23.253519,394000,50.454,14.65638771,152.1420918
58.984811,23.253658,395000,49.98,15.92738016,149.9894367
58.984166,23.25361,400000,52.761,14.35873178,182.1959905
58.984059,23.252736,404000,55.985,12.87131626,256.6351416
58.984054,23.252392,406000,64.993,9.861633894,268.3843807
58.984038,23.252213,407000,56.656,10.41211396,260.1588656
58.983983,23.251802,409000,59.09,12.16839201,255.4418067
58.983882,23.251403,411000,58.238,12.73901861,243.837386
58.983689,23.251099,413000,56.505,13.82372255,219.0640798
58.983292,23.251081,416000,60.19,14.72295761,181.3383684
58.98303,23.251312,418000,55.542,16.00389025,155.5666269
58.982915,23.251521,419000,52.252,17.52421453,136.878377
58.982867,23.252155,421000,50.15,18.36366519,98.35813161
58.983005,23.25261,423000,53.511,15.12991634,59.51914736
58.983089,23.252744,424000,57.718,12.09443025,39.42058876
58.983173,23.252843,425000,61.3,10.931002,31.27054224
58.983366,23.252992,427000,62.002,11.55145785,21.69325599
58.983601,23.253067,429000,59.579,13.24463072,9.338823751
58.98404,23.253229,433000,63.495,12.42580536,10.7661328
58.984716,23.253674,439000,63.849,13.23276463,18.73649747
58.984992,23.254051,442000,73.019,12.51321003,35.13855046
